,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,31,20,11,.645,-2.87,-6.87,,15,5,,13,3,,7,8,,2352,2024,,71.1,105.0,.383,.373,.549,50.1,56.6,13.1,7.9,.507,16.9,30.6,.284
2,Air Force,32,12,20,.375,-0.37,3.02,,5,13,,8,7,,3,9,,2338,2386,,68.9,106.0,.357,.417,.568,50.0,58.5,7.3,4.6,.534,16.1,22.7,.261
3,Akron,31,24,7,.774,7.15,-0.40,,14,4,,15,2,,8,4,,2348,2062,,70.6,107.2,.351,.444,.562,50.7,51.4,7.2,7.3,.521,16.0,27.9,.271
4,Alabama A&M,30,8,22,.267,-18.88,-8.85,,5,13,,6,5,,2,16,,1845,2146,,69.6,87.9,.327,.317,.462,47.5,49.7,8.3,5.7,.424,16.4,24.7,.219
5,Alabama-Birmingham,32,19,13,.594,-0.94,-1.64,,9,9,,11,6,,5,7,,2154,2088,,67.2,100.2,.351,.300,.537,54.7,43.2,8.9,8.7,.503,19.0,31.7,.247
6,Alabama State,32,8,24,.250,-16.15,-6.53,,7,11,,4,5,,2,16,,1965,2273,,70.8,86.7,.357,.390,.477,47.1,47.6,8.8,6.0,.446,19.9,25.7,.222
7,Alabama,31,16,15,.516,11.12,8.12,,8,10,,10,5,,4,8,,2542,2449,,76.1,106.0,.369,.489,.553,49.7,51.6,8.2,10.4,.522,16.7,29.8,.256
8,Albany (NY),32,14,18,.438,-8.78,-5.91,,7,9,,7,7,,5,11,,2127,2190,,69.7,95.0,.339,.438,.518,49.8,56.4,8.0,7.9,.482,17.5,24.1,.239
9,Alcorn State,30,15,15,.500,-14.64,-9.64,,11,7,,11,2,,4,13,,2251,2196,,72.6,102.5,.304,.399,.536,51.3,51.5,10.9,8.4,.500,17.1,30.2,.226
10,American,30,16,14,.533,-4.37,-6.50,,12,6,,10,4,,6,10,,2149,2085,,69.0,103.4,.286,.348,.543,48.5,48.2,11.5,9.3,.516,15.7,26.5,.201
11,Appalachian State,33,18,15,.545,-0.81,-0.01,,11,9,,10,5,,7,9,,2256,2222,,68.6,99.3,.412,.388,.524,49.7,49.2,10.8,6.5,.489,17.0,27.7,.274
12,Arizona State,31,20,11,.645,11.46,8.10,,11,7,,13,3,,6,5,,2288,2184,,73.7,100.1,.324,.369,.521,48.5,42.3,10.9,9.4,.488,15.7,26.5,.225
13,Arizona,32,21,11,.656,19.49,8.40,,10,8,,13,4,,4,6,,2445,2090,,70.3,107.9,.367,.347,.546,52.5,57.9,9.5,10.6,.507,14.5,30.7,.269
14,Little Rock,31,21,10,.677,2.27,-1.07,,15,5,,13,2,,8,8,,2270,2152,,70.2,104.4,.450,.328,.566,52.2,59.5,9.8,10.4,.527,19.3,30.7,.319
15,Arkansas-Pine Bluff,30,4,26,.133,-21.65,-6.41,,3,15,,2,8,,2,18,,1615,2049,,67.6,79.3,.374,.289,.462,48.9,49.0,10.6,9.8,.435,23.3,27.9,.220
16,Arkansas State,32,16,16,.500,-2.92,-0.72,,8,12,,10,7,,6,9,,2262,2301,,68.5,102.4,.474,.317,.537,49.3,58.9,10.0,7.6,.490,16.5,28.8,.336
